'200', '00004', 'E137', 'LAS', 'MCO', '0900', '1530', 'SMTWTFS'
'300', '00006', 'A436', 'SAN', 'MIA', '2015', '0200', 'SMTWTFS'
'301', '00006', 'A321', 'SAN', 'BWI', '1300', '1400', 'SMTWTFS'
'302', '00006', 'A436', 'MCO', 'PIT', '0530', '1530', 'SMTWTFS'
'303', '00006', 'A436', 'MCO', 'IND', '1430', '0000', 'SMTWTFS'
'304', '00006', 'M288', 'MCO', 'SAN', '2030', '0830', 'SMTWTFS'
'305', '00006', 'L319', 'MCO', 'LAS', '0715', '1115', 'SMTWTFS'
'306', '00006', 'M108', 'MCO', 'JFK', '1915', '0100', 'SMTWTFS'
'307', '00006', 'M108', 'MCO', 'MIA', '0745', '1845', 'SMTWTFS'
'308', '00006', 'L319', 'MCO', 'BWI', '0430', '1215', 'SMTWTFS'
'309', '00006', 'M288', 'LAS', 'PIT', '2100', '0045', 'SMTWTFS'
'310', '00006', 'L299', 'LAS', 'IND', '1145', '1330', 'SMTWTFS'
'311', '00006', 'A436', 'LAS', 'SAN', '0630', '1415', 'SMTWTFS'
'312', '00006', 'M288', 'LAS', 'MCO', '1245', '1300', 'SMTWTFS'
'313', '00006', 'L319', 'LAS', 'JFK', '0800', '1415', 'SMTWTFS'
'314', '00006', 'A321', 'LAS', 'MIA', '0200', '0945', 'SMTWTFS'
'315', '00006', 'M288', 'LAS', 'BWI', '2130', '0630', 'SMTWTFS'
'316', '00006', 'A321', 'JFK', 'PIT', '2100', '0900', 'SMTWTFS'
'317', '00006', 'M288', 'JFK', 'IND', '1600', '0415', 'SMTWTFS'
'318', '00006', 'M288', 'JFK', 'SAN', '0230', '0315', 'SMTWTFS'
'319', '00006', 'B245', 'JFK', 'MCO', '0345', '0545', 'SMTWTFS'
'320', '00006', 'A951', 'JFK', 'LAS', '2115', '0315', 'SMTWTFS'
'321', '00006', 'L319', 'JFK', 'MIA', '1230', '2215', 'SMTWTFS'
'322', '00006', 'B245', 'JFK', 'BWI', '0630', '0745', 'SMTWTFS'
'323', '00006', 'A951', 'MIA', 'PIT', '0315', '1000', 'SMTWTFS'
'324', '00006', 'A321', 'MIA', 'IND', '1815', '0615', 'SMTWTFS'
'325', '00006', 'M288', 'MIA', 'SAN', '0000', '1230', 'SMTWTFS'
'326', '00006', 'A951', 'MIA', 'MCO', '0445', '0800', 'SMTWTFS'
'327', '00006', 'M108', 'MIA', 'LAS', '1615', '0245', 'SMTWTFS'
'328', '00006', 'M108', 'MIA', 'JFK', '1430', '0130', 'SMTWTFS'
'329', '00006', 'M108', 'MIA', 'BWI', '0100', '0600', 'SMTWTFS'
'330', '00006', 'A321', 'BWI', 'PIT', '2200', '2300', 'SMTWTFS'
'331', '00006', 'B245', 'BWI', 'IND', '0130', '0500', 'SMTWTFS'
'332', '00006', 'M288', 'BWI', 'SAN', '0000', '1130', 'SMTWTFS'
'333', '00006', 'B245', 'BWI', 'MCO', '1630', '2115', 'SMTWTFS'
'334', '00006', 'L299', 'BWI', 'LAS', '1830', '0315', 'SMTWTFS'
'335', '00006', 'M108', 'BWI', 'JFK', '0115', '0300', 'SMTWTFS'
'336', '00006', 'L299', 'BWI', 'MIA', '0200', '0900', 'SMTWTFS'
'337', '00007', 'L429', 'PIT', 'IND', '2030', '0830', 'SMTWTFS'
'338', '00007', 'L429', 'PIT', 'SAN', '0415', '0515', 'SMTWTFS'
'339', '00007', 'M758', 'PIT', 'MCO', '1415', '0015', 'SMTWTFS'
'340', '00007', 'L429', 'PIT', 'LAS', '2245', '0230', 'SMTWTFS'
'341', '00007', 'L429', 'PIT', 'JFK', '2330', '0400', 'SMTWTFS'
'342', '00007', 'L429', 'PIT', 'MIA', '2230', '0015', 'SMTWTFS'
'343', '00007', 'L429', 'PIT', 'BWI', '1815', '0200', 'SMTWTFS'
'344', '00007', 'L429', 'IND', 'PIT', '1445', '1830', 'SMTWTFS'
'345', '00007', 'M028', 'IND', 'SAN', '0630', '1045', 'SMTWTFS'
'346', '00007', 'M758', 'IND', 'MCO', '1445', '0145', 'SMTWTFS'
'347', '00007', 'M758', 'IND', 'LAS', '0115', '0200', 'SMTWTFS'
'348', '00007', 'M533', 'IND', 'JFK', '0045', '1115', 'SMTWTFS'
'349', '00007', 'M028', 'IND', 'MIA', '0730', '1015', 'SMTWTFS'
'350', '00007', 'M533', 'IND', 'BWI', '1545', '1915', 'SMTWTFS'
'351', '00007', 'L429', 'SAN', 'PIT', '1230', '1600', 'SMTWTFS'
'352', '00007', 'M533', 'SAN', 'IND', '0115', '0800', 'SMTWTFS'
'353', '00007', 'M028', 'SAN', 'MCO', '0430', '1200', 'SMTWTFS'
'354', '00007', 'M758', 'SAN', 'LAS', '1630', '1915', 'SMTWTFS'
'355', '00007', 'M533', 'SAN', 'JFK', '0200', '0300', 'SMTWTFS'
'356', '00007', 'M028', 'SAN', 'MIA', '0315', '1115', 'SMTWTFS'
'357', '00007', 'M533', 'SAN', 'BWI', '0030', '1215', 'SMTWTFS'
'358', '00007', 'M758', 'MCO', 'PIT', '0545', '1645', 'SMTWTFS'
'359', '00007', 'L429', 'MCO', 'IND', '0845', '1530', 'SMTWTFS'
'360', '00007', 'L429', 'MCO', 'SAN', '0500', '1530', 'SMTWTFS'
'361', '00007', 'M028', 'MCO', 'LAS', '1945', '0100', 'SMTWTFS'
'362', '00007', 'L429', 'MCO', 'JFK', '0100', '1245', 'SMTWTFS'
'363', '00007', 'M758', 'MCO', 'MIA', '2045', '0630', 'SMTWTFS'
'364', '00007', 'M758', 'MCO', 'BWI', '2045', '0130', 'SMTWTFS'
'365', '00007', 'M758', 'LAS', 'PIT', '2300', '1030', 'SMTWTFS'
'366', '00007', 'M028', 'LAS', 'IND', '2030', '0615', 'SMTWTFS'
'367', '00007', 'M758', 'LAS', 'SAN', '2145', '0300', 'SMTWTFS'
'368', '00007', 'M028', 'LAS', 'MCO', '2000', '0230', 'SMTWTFS'
'369', '00007', 'M533', 'LAS', 'JFK', '0915', '1615', 'SMTWTFS'
